Mesafe (cm),Enlem,Boylam,Zaman Damgası
3,0,0,2024-12-11 00:30:36
3,0,0,2024-12-11 00:30:38
39,41,29,2024-12-11 00:30:40
37,0,0,2024-12-11 00:30:42
40,0,0,2024-12-11 00:30:44
38,0,0,2024-12-11 00:30:46
24,0,0,2024-12-11 00:30:48
16,0,0,2024-12-11 00:30:50
10,0,0,2024-12-11 00:30:52
6,0,0,2024-12-11 00:30:54
3,0,0,2024-12-11 00:30:56
2,41,29,2024-12-11 00:30:58
2,0,0,2024-12-11 00:31:00
1,0,0,2024-12-11 00:31:02
7,0,0,2024-12-11 00:31:04
10,0,0,2024-12-11 00:31:06
22,0,0,2024-12-11 00:31:08
28,0,0,2024-12-11 00:31:10
30,0,0,2024-12-11 00:31:12
39,0,0,2024-12-11 00:31:14
24,41,29,2024-12-11 00:31:16
12,0,0,2024-12-11 00:31:18
9,0,0,2024-12-11 00:31:20
164,0,0,2024-12-11 00:31:22
166,0,0,2024-12-11 00:31:24
166,0,0,2024-12-11 00:31:26
73,0,0,2024-12-11 00:31:28
73,0,0,2024-12-11 00:31:30
68,0,0,2024-12-11 00:31:32
108,41,29,2024-12-11 00:31:34
108,0,0,2024-12-11 00:31:36
47,0,0,2024-12-11 00:31:38
39,0,0,2024-12-11 00:31:40
37,0,0,2024-12-11 00:31:42
90,0,0,2024-12-11 00:31:44
90,0,0,2024-12-11 00:31:46
214,0,0,2024-12-11 00:31:48
107,0,0,2024-12-11 00:31:50
48,41,29,2024-12-11 00:31:52
179,0,0,2024-12-11 00:31:54
178,0,0,2024-12-11 00:31:56
178,0,0,2024-12-11 00:31:58
179,0,0,2024-12-11 00:32:00
179,0,0,2024-12-11 00:32:02
46,0,0,2024-12-11 00:32:04
41,0,0,2024-12-11 00:32:06
34,0,0,2024-12-11 00:32:08
29,41,29,2024-12-11 00:32:10
24,0,0,2024-12-11 00:32:12
179,0,0,2024-12-11 00:32:14
