D,L,LN,S
805,0.0,0.0,E
805,0.0,0.0,E
250,0.0,0.0,E
32,0.0,0.0,M
37,0.0,0.0,M
36,0.0,0.0,M
35,0.0,0.0,M
36,0.0,0.0,M
35,0.0,0.0,M
35,0.0,0.0,M
9,0.0,0.0,F
9,0.0,0.0,F
8,0.0,0.0,F
16,0.0,0.0,F
36,0.0,0.0,M
163,0.0,0.0,E
164,0.0,0.0,E
805,0.0,0.0,E
9,0.0,0.0,F
11,0.0,0.0,F
11,0.0,0.0,F
12,0.0,0.0,F
16,0.0,0.0,F
12,0.0,0.0,F
3,0.0,0.0,F
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
18,0.0,0.0,F
43,0.0,0.0,M
45,0.0,0.0,M
44,0.0,0.0,M
44,0.0,0.0,M
44,0.0,0.0,M
40,0.0,0.0,M
8,0.0,0.0,F
19,0.0,0.0,F
167,0.0,0.0,E
168,0.0,0.0,E
44,0.0,0.0,M
4,0.0,0.0,F
1,0.0,0.0,F
1,0.0,0.0,F
4,0.0,0.0,F
4,0.0,0.0,F
15,0.0,0.0,F
17,0.0,0.0,F
16,0.0,0.0,F
27,0.0,0.0,M
27,0.0,0.0,M
16,0.0,0.0,F
13,0.0,0.0,F
16,0.0,0.0,F
32,0.0,0.0,M
18,0.0,0.0,F
46,0.0,0.0,M
45,0.0,0.0,M
36,0.0,0.0,M
35,0.0,0.0,M
35,0.0,0.0,M
36,0.0,0.0,M
37,0.0,0.0,M
172,0.0,0.0,E
47,0.0,0.0,M
46,0.0,0.0,M
46,0.0,0.0,M
44,0.0,0.0,M
11,0.0,0.0,F
51,0.0,0.0,E
45,0.0,0.0,M
20,0.0,0.0,M
46,0.0,0.0,M
227,0.0,0.0,E
36,0.0,0.0,M
51,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
806,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
805,0.0,0.0,E
37,41.0,29.1,M
38,41.0,29.1,M
37,41.0,29.1,M
37,41.0,29.1,M
37,41.0,29.1,M
39,41.0,29.1,M
12,41.0,29.0,F
12,41.0,29.1,F
33,41.0,29.1,M
27,41.0,29.0,M
3,41.0,29.1,F
3,41.0,29.1,F
3,41.0,29.1,F
805,0.0,0.0,E
2,0.0,0.0,F
33,0.0,0.0,M
16,0.0,0.0,F
11,0.0,0.0,F
38,0.0,0.0,M
15,0.0,0.0,F
19,0.0,0.0,F
31,0.0,0.0,M
29,0.0,0.0,M
19,0.0,0.0,F
33,0.0,0.0,M
32,0.0,0.0,M
14,0.0,0.0,F
3,0.0,0.0,F
33,0.0,0.0,M
166,0.0,0.0,E
167,0.0,0.0,E
16,0.0,0.0,F
9,0.0,0.0,F
1,0.0,0.0,F
36,0.0,0.0,M
17,0.0,0.0,F
18,0.0,0.0,F
179,0.0,0.0,E
179,0.0,0.0,E
179,0.0,0.0,E
179,0.0,0.0,E
179,0.0,0.0,E
179,0.0,0.0,E
29,0.0,0.0,M
31,0.0,0.0,M
34,0.0,0.0,M
42,0.0,0.0,M
18,0.0,0.0,F
17,0.0,0.0,F
20,0.0,0.0,M
6,0.0,0.0,F
56,0.0,0.0,E
180,0.0,0.0,E
179,0.0,0.0,E
805,0.0,0.0,E
4,0.0,0.0,F
179,0.0,0.0,E
179,0.0,0.0,E
179,0.0,0.0,E
179,0.0,0.0,E
179,0.0,0.0,E
179,0.0,0.0,E
179,0.0,0.0,E
179,0.0,0.0,E
58,0.0,0.0,E
42,0.0,0.0,M
45,0.0,0.0,M
16,0.0,0.0,F
16,0.0,0.0,F
17,0.0,0.0,F
19,0.0,0.0,F
222,0.0,0.0,E
23,41.0,29.0,M
26,41.0,29.1,M
170,41.0,29.1,E
170,41.0,29.1,E
171,41.0,29.1,E
179,41.0,29.1,E
179,41.0,29.1,E
179,41.0,29.1,E
179,41.0,29.0,E
179,41.0,29.1,E
179,0.0,0.0,E
179,0.0,0.0,E
179,41.0,29.0,E
179,41.0,29.1,E
179,0.0,0.0,E
218,0.0,0.0,E
162,41.0,29.0,E
805,41.0,29.1,E
179,41.0,29.1,E
179,41.0,29.1,E
179,41.0,29.1,E
179,0.0,0.0,E
179,41.0,29.0,E
168,41.0,29.1,E
167,41.0,29.1,E
166,41.0,29.1,E
179,41.0,29.1,E
179,41.0,29.1,E
179,0.0,0.0,Empty
37,0.0,0.0,Medium
805,41.0,29.0,Empty
805,41.0,29.1,Empty
805,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,0.0,0.0,Empty
179,0.0,0.0,Empty
36,0.0,0.0,Medium
34,0.0,0.0,Medium
805,0.0,0.0,Empty
11,41.0,29.0,Full
16,41.0,29.1,Full
166,41.0,29.1,Empty
166,41.0,29.1,Empty
45,41.0,29.1,Medium
8,41.0,29.1,Full
46,41.0,29.1,Medium
179,41.0,29.1,Empty
179,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
39,0.0,0.0,Medium
37,0.0,0.0,Medium
29,0.0,0.0,Medium
33,0.0,0.0,Medium
36,0.0,0.0,Medium
49,0.0,0.0,Medium
179,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.0,Empty
3,41.0,29.1,Full
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
16,41.0,29.1,Full
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
194,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.0,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
179,41.0,29.1,Empty
